hour,altitude,altitude_change,azimuth,temperature,rainfall,windvelocity,humidity,snowfall,sky,output
1,-74.64632718,-0.934375844,338.0796492,-4.3,,1.3,66,,2,0
2,-66.81357288,7.832754302,57.57046874,-5.3,,1.2,72,,1,0
3,-55.86242698,10.95114589,75.43781164,-6.6,,0.8,79,,1,0
4,-44.10212684,11.76030015,86.78409046,-6.9,,0.2,80,,1,0
5,-32.20487233,11.89725451,95.72672181,-6.9,,1.6,80,,1,0
6,-20.47669893,11.7281734,103.8686574,-8.2,,0.7,86,,2,0
7,-9.151961182,11.32473775,112.0430697,-8.7,,0.2,89,,2,0.2
8,1.511049975,10.66301116,120.8361577,-8,,0.2,89,,3,6.2
9,11.17503752,9.663987542,130.7609253,-5.4,,0.6,71,,3,39.1
10,19.38095491,8.205917391,142.2764213,-3.2,,0.7,55,,3,70.7
11,25.53639867,6.155443763,155.6558049,-2.8,,1.8,50,,1,99.4
12,28.99639384,3.459995171,170.6985681,-0.9,,2.2,51,,1,52.9
13,29.28805047,0.291656626,173.4925249,-1.4,,4,56,,3,36.9
14,26.3670114,-2.921039067,201.7717625,-1.2,,4.2,57,,3,88.3
15,20.64540052,-5.721610885,215.4807211,-1.2,,3.3,59,,2,21.2
16,12.75779984,-7.88760068,227.3171892,-0.7,,3.3,59,,2,10.6
17,3.315780442,-9.442019394,237.4941575,-1.8,,3.4,58,,1,0.7
18,-7.197088451,-10.51286889,246.4522028,-2.6,,2.3,61,,1,0
19,-18.42456098,-11.22747253,254.6971869,-3.1,,2,59,,1,0
20,-30.09789715,-11.67333616,262.794878,-3.7,,1.3,54,,1,0
21,-41.98347137,-11.88557422,271.5114707,-4.3,,1.7,55,,1,0
22,-53.79966227,-11.81619091,282.2418232,-4.5,,2.9,49,,1,0
23,-64.98452991,-11.18486763,298.4063767,-4.8,,3.6,50,,1,0
0,-73.59408264,-8.609552731,329.5283818,-6.1,,1.1,56,,1,0
1,-74.60227799,-1.008195352,338.5451316,-6.8,,1,58,,1,0
2,-66.83267871,7.769599279,57.24105945,-8.4,,0.4,68,,1,0
3,-55.9036371,10.92904161,75.21602301,-9.3,,0.1,75,,1,0
4,-44.14955084,11.75408626,86.61390124,-9.7,,0.4,78,,1,0
5,-32.25163401,11.89791683,95.58200663,-10.1,,0.3,86,,1,0
6,-20.51863931,11.7329947,103.7361121,-10.7,,0,88,,1,0
7,-9.185635087,11.33300422,111.914785,-10.3,,0.1,89,,1,0
8,1.489197627,10.67483271,120.7069022,-10.3,,0.1,88,,1,12.3
9,11.16905883,9.679861201,130.6274871,-6.5,,0.2,69,,1,56.2
10,19.39537863,8.226319799,142.1383411,-3.9,,0.7,55,,1,95.4
11,25.57546215,6.180083528,155.5171513,-1.3,,2.7,50,,1,114.5
12,29.06223305,3.486770896,170.5689825,-0.4,,2.2,38,,1,126.9
13,29.37874151,0.316508461,173.6010321,0.5,,2,36,,1,121.4
14,26.47673492,-2.902006592,201.6917544,0.6,,2.4,35,,1,101.7
15,20.76711953,-5.709615393,215.4288137,0.5,,3.5,32,,1,70.2
16,12.88577495,-7.881344574,227.2882647,-1.1,,3.2,33,,1,32.3
17,3.446307289,-9.439467664,237.4824841,-1.9,,2.7,38,,1,1.4
18,-7.066047165,-10.51235445,246.4533221,-3.1,,1.9,51,,1,0
19,-18.29392549,-11.22787833,254.7081071,-3.6,,1.4,48,,1,0
20,-29.96784934,-11.67392384,262.8135253,-4.3,,0.9,53,,1,0
21,-41.85363864,-11.88578931,271.5353802,-6,,0.5,62,,1,0
22,-53.66925982,-11.81562118,282.2637515,-7,,0,66,,1,0
23,-64.85360027,-11.18434045,298.393352,-7.4,,0.4,71,,1,0
0,-73.47036505,-8.616764778,329.34081,-7.2,,1.1,74,,1,0
1,-74.55061263,-1.080247582,339.012714,-7.4,,1.1,72,,1,0
2,-66.84583153,7.704781106,56.90032209,-7.9,,0.7,68,,1,0
3,-55.94001102,10.90582051,74.98463121,-8.9,,0,72,,1,0
4,-44.19255751,11.74745351,86.43599205,-8.5,,0.9,68,,1,0
5,-32.29404328,11.89851423,95.4308474,-8.8,,1.1,70,,1,0
6,-20.55609109,11.73795219,103.5979864,-9.3,,0.7,73,,1,0
