hour,altitude,altitude_change,azimuth,temperature,rainfall,windvelocity,humidity,snowfall,sky,output
1,-74.82502579,-0.849942821,337.2811253,-4.3,,1.3,66,,2,0
2,-66.84559122,7.979434568,58.26866692,-5.3,,1.2,72,,1,0
3,-55.81295992,11.0326313,75.90567951,-6.6,,0.8,79,,1,0
4,-44.00287908,11.81008084,87.10641755,-6.9,,0.2,80,,1,0
5,-32.06895768,11.93392141,95.9544902,-6.9,,1.6,80,,1,0
6,-20.31018652,11.75877116,104.0303606,-8.2,,0.7,86,,2,0
7,-8.958050066,11.35213645,112.1571137,-8.7,,0.2,89,,2,0
8,1.730069997,10.68812006,120.9174245,-8,,0.2,89,,3,4.6
9,11.41622902,9.686159024,130.8248348,-5.4,,0.6,71,,3,29.5
10,19.6388177,8.222588681,142.3414938,-3.2,,0.7,55,,3,41.3
11,25.80056838,6.161750674,155.743067,-2.8,,1.8,50,,1,69.4
12,29.25050662,3.449938244,170.824293,-0.9,,2.2,51,,1,29.9
13,29.5128103,0.26230368,173.328831,-1.4,,4,56,,3,44.3
14,26.54725326,-2.965557037,201.9533379,-1.2,,4.2,57,,3,19.1
15,20.77474754,-5.772505724,215.6532632,-1.2,,3.3,59,,2,18.9
16,12.83720933,-7.937538206,227.4598732,-0.7,,3.3,59,,2,8.2
17,3.349514317,-9.487695015,237.5948631,-1.8,,3.4,58,,1,0.8
18,-7.204455708,-10.55397003,246.5042832,-2.6,,2.3,61,,1,0
19,-18.46960335,-11.26514764,254.6957961,-3.1,,2,59,,1,0
20,-30.17903104,-11.70942769,262.7343499,-3.7,,1.3,54,,1,0
21,-42.10163351,-11.92260248,271.3838337,-4.3,,1.7,55,,1,0
22,-53.95961692,-11.8579834,282.0391285,-4.5,,2.9,49,,1,0
23,-65.19663044,-11.23701352,298.1526128,-4.8,,3.6,50,,1,0
0,-73.85712789,-8.660497453,329.5294261,-6.1,,1.1,56,,1,0
1,-74.7825642,-0.925436312,337.754092,-6.8,,1,58,,1,0
2,-66.86620395,7.916360251,57.9394047,-8.4,,0.4,68,,1,0
3,-55.85517302,11.01103093,75.68476988,-9.3,,0.1,75,,1,0
4,-44.05102936,11.80414367,86.93690808,-9.7,,0.4,78,,1,0
5,-32.11629108,11.93473828,95.81024984,-10.1,,0.3,86,,1,0
6,-20.35260129,11.76368979,103.8981304,-10.7,,0,88,,1,0
7,-8.992125939,11.36047535,112.0290071,-10.3,,0.1,89,,1,0
8,1.707883832,10.70000977,120.7882121,-10.3,,0.1,88,,1,12.2
9,11.40999846,9.702114629,130.6912964,-6.5,,0.2,69,,1,44.8
10,19.65310197,8.243103508,142.203177,-3.9,,0.7,55,,1,75.7
11,25.83964023,6.186538264,155.6041085,-1.3,,2.7,50,,1,91.7
12,29.31650882,3.476868586,170.6944949,-0.4,,2.2,38,,1,99.4
13,29.60376386,0.28725504,173.4372888,0.5,,2,36,,1,93.4
14,26.65724577,-2.946518085,201.8736667,0.6,,2.4,35,,1,83.1
15,20.89667416,-5.760571612,215.6018717,0.5,,3.5,32,,1,47.2
16,12.96531036,-7.931363799,227.4315321,-1.1,,3.2,33,,1,22.2
17,3.480093181,-9.485217182,237.5837884,-1.9,,2.7,38,,1,2.9
18,-7.073420995,-10.55351418,246.506016,-3.1,,1.9,51,,1,0
19,-18.33901898,-11.26559799,254.7073782,-3.6,,1.4,48,,1,0
20,-30.04906676,-11.71004778,262.7537746,-4.3,,0.9,53,,1,0
21,-41.97190148,-11.92283472,271.4087568,-6,,0.5,62,,1,0
22,-53.8292976,-11.85739612,282.0625156,-7,,0,66,,1,0
23,-65.06566762,-11.23637003,298.141512,-7.4,,0.4,71,,1,0
0,-73.73332773,-8.667660104,329.3395836,-7.2,,1.1,74,,1,0
1,-74.73248203,-0.999154307,338.2295524,-7.4,,1.1,72,,1,0
2,-66.88091481,7.851567221,57.59860235,-7.9,,0.7,68,,1,0
3,-55.89259435,10.98832046,75.45419578,-8.9,,0,72,,1,0
4,-44.09479628,11.79779807,86.75965433,-8.5,,0.9,68,,1,0
5,-32.15929851,11.93549777,95.65955109,-8.8,,1.1,70,,1,0
6,-20.39054842,11.76875008,103.7603077,-9.3,,0.7,73,,1,0
